rank,title,aritist
1,그건 아마 우리의 잘못은 아닐 거야,백예린
2,당신과는 천천히,장범준
3,달라달라,ITZY(있지)
4,술이 달다 (Feat. Crush),에픽하이 (EPIK HIGH)
5,옥탑방,엔플라잉(N.Flying)
6,멍청이(twit),화사(Hwa Sa)
7,주저하는 연인들을 위해,잔나비
8,벌써 12시,청하
9,이 노래가 클럽에서 나온다면,우디 (Woody)
10,고고베베 (gogobebe),마마무(Mamamoo)
11,야간비행 (魔女の花),백예린
12,노래방에서,장범준
13,넘쳐흘러,M.C THE MAX
14,신청곡 (Feat. SUGA of BTS),이소라
15,너를 만나,폴킴
16,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
17,봄 (Feat. 산다라박),박봄
18,SHE'S FINE,헤이즈 (Heize)
19,180도,벤
20,일산으로,장범준
21,YES or YES,TWICE(트와이스)
22,띵 (Prod. By 기리보이),백예린
23,내가 날 모르는 것처럼 (Feat. 카더가든),Jvcki Wai
24,SOLO,제니 (JENNIE)
25,신용재,하은(라코스테남)
